,term,frq_pre,frq_post,diff
2,unseres,0.0022632778969957083,0.001011102558415635,-0.0012521753385800734
11,eidgenossen,0.0011232564377682403,0.00021526699630784485,-0.0009079894414603955
10,eidgenossenschaft,0.0012070815450643778,0.0003131156309932289,-0.0008939659140711489
5,landes,0.0016597371244635192,0.0010176258007279938,-0.0006421113237355255
9,staat,0.0012741416309012875,0.0006392777466111756,-0.0006348638842901119
38,unsern,0.0006370708154506437,1.304648462471787e-05,-0.0006240243308259258
23,probleme,0.0008885461373390558,0.00026745293480671636,-0.0006210932025323394
20,bund,0.0009053111587982832,0.0002870226617437931,-0.0006182884970544901
13,volk,0.001106491416309013,0.0004957664157392791,-0.0006107250005697338
34,aufgaben,0.0006538358369098712,0.00010437187699774296,-0.0005494639599121282
18,gemeinschaft,0.0009220761802575107,0.0003783480541168182,-0.0005437281261406926
54,schweizervolk,0.000536480686695279,1.9569726937076806e-05,-0.0005169109597582021
26,willen,0.000787956008583691,0.00027397617711907526,-0.0005139798314646157
36,schweizerischen,0.0006370708154506437,0.00012394160393481977,-0.0005131292115158239
51,innern,0.000536480686695279,3.913945387415361e-05,-0.0004973412328211253
53,vaterland,0.000536480686695279,3.913945387415361e-05,-0.0004973412328211253
27,kraft,0.000787956008583691,0.0002935459040561521,-0.0004944101045275389
42,abend,0.0006035407725321889,0.00011741836162246082,-0.0004861224109097281
24,frieden,0.0008382510729613734,0.00036530156949210035,-0.00047294950346927307
39,geist,0.0006203057939914163,0.00016308105780897338,-0.0004572247361824429
56,sinn,0.0005197156652360515,8.480215006066616e-05,-0.0004349135151753853
37,wirtschaftlichen,0.0006370708154506437,0.000202220511683127,-0.00043485030376751675
45,aufgabe,0.0005867757510729614,0.00017612754243369124,-0.00041064820863927014
4,zukunft,0.0017267972103004292,0.0013176949470965049,-0.0004091022632039243
78,bundes,0.0004526555793991416,4.566269618651254e-05,-0.00040699288321262907
91,gerechtigkeit,0.0004191255364806867,1.304648462471787e-05,-0.00040607905185596885
49,volkes,0.0005532457081545064,0.0001500345731842555,-0.00040321113497025096
21,solidarität,0.0008885461373390558,0.0004957664157392791,-0.0003927797215997767
8,august,0.001575912017167382,0.0011872301008493261,-0.0003886819163180558
44,neutralität,0.0006035407725321889,0.00021526699630784485,-0.00038827377622434404
79,lande,0.0004526555793991416,6.523242312358935e-05,-0.00038742315627555225
86,völker,0.0004358905579399142,5.870918081123041e-05,-0.0003771813771286838
73,schwierigkeiten,0.0004526555793991416,9.132539237302509e-05,-0.00036133018702611653
61,gefahr,0.000502950643776824,0.00014351133087189656,-0.00035943931290492747
59,krieg,0.0005197156652360515,0.00016308105780897338,-0.00035663460742707813
94,kräfte,0.0004191255364806867,6.523242312358935e-05,-0.00035389311335709734
97,erfüllen,0.0004191255364806867,6.523242312358935e-05,-0.00035389311335709734
55,männer,0.000536480686695279,0.00018265078474605017,-0.0003538299019492288
111,stunde,0.0003688304721030043,1.9569726937076806e-05,-0.0003492607451659275
113,besinnung,0.00035206545064377684,6.523242312358935e-06,-0.0003455422083314179
118,erhaltung,0.00035206545064377684,6.523242312358935e-06,-0.0003455422083314179
120,verpflichtung,0.00035206545064377684,2.609296924943574e-05,-0.0003259724813943411
83,aussen,0.0004358905579399142,0.00011089511931010189,-0.0003249954386298123
60,sozialen,0.000502950643776824,0.00018265078474605017,-0.00032029985903077383
62,pflicht,0.000502950643776824,0.00018265078474605017,-0.00032029985903077383
114,eidgenössischen,0.00035206545064377684,3.913945387415361e-05,-0.00031292599676962325
137,friede,0.00033530042918454936,2.609296924943574e-05,-0.00030920745993511363
50,vergangenheit,0.000536480686695279,0.00022831348093256272,-0.00030816720576271625
105,schweizerische,0.00038559549356223174,7.827890774830722e-05,-0.0003073165858139245
3,freiheit,0.002045332618025751,0.0017417056973998357,-0.00030362692062591554
22,politischen,0.0008885461373390558,0.0005870918081123042,-0.0003014543292267516
40,mitbürger,0.0006035407725321889,0.00030659238868086994,-0.00029694838385131895
32,erhalten,0.0007041309012875537,0.0004109642656786129,-0.0002931666356089408
155,treue,0.0003185354077253219,2.609296924943574e-05,-0.00029244243847588615
166,opfer,0.00030177038626609445,1.304648462471787e-05,-0.0002887239016413766
98,armee,0.0004191255364806867,0.0001304648462471787,-0.000288660690233508
154,erfüllt,0.0003185354077253219,3.2616211561794675e-05,-0.0002859191961635272
140,väter,0.00033530042918454936,5.218593849887148e-05,-0.00028311449068567785
184,beizustehen,0.00028500536480686697,6.523242312358935e-06,-0.000278482122494508
29,unabhängigkeit,0.0007208959227467812,0.00044358047724040757,-0.0002773154455063736
74,generation,0.0004526555793991416,0.00017612754243369124,-0.0002765280369654504
92,not,0.0004191255364806867,0.00014351133087189656,-0.0002756142056087902
46,entwicklung,0.0005867757510729614,0.0003131156309932289,-0.0002736601200797325
63,einzelnen,0.000502950643776824,0.00024135996555728058,-0.00026159067821954343
124,lösen,0.00035206545064377684,9.132539237302509e-05,-0.00026074005827075175
12,demokratie,0.001106491416309013,0.0008480215006066615,-0.0002584699157023514
71,bundesbrief,0.0004861856223175966,0.00022831348093256272,-0.00025787214138503386
69,bereit,0.0004861856223175966,0.00022831348093256272,-0.00025787214138503386
107,schicksal,0.00038559549356223174,0.0001304648462471787,-0.000255130647315053
57,heutigen,0.0005197156652360515,0.00026745293480671636,-0.00025226273042933513
199,völkern,0.0002682403433476395,1.9569726937076806e-05,-0.00024867061641056266
126,gegenwart,0.00035206545064377684,0.00010437187699774296,-0.0002476935736460339
112,gedanken,0.00035206545064377684,0.00010437187699774296,-0.0002476935736460339
134,gegenseitig,0.00033530042918454936,9.132539237302509e-05,-0.00024397503681152427
138,staates,0.00033530042918454936,9.784863468538402e-05,-0.00023745179449916534
162,staatlichen,0.00030177038626609445,6.523242312358935e-05,-0.00023653796314250508
167,gedenken,0.00030177038626609445,7.175566543594828e-05,-0.00023001472083014618
198,gottes,0.0002682403433476395,3.913945387415361e-05,-0.00022910088947348587
212,schwere,0.000251475321888412,2.609296924943574e-05,-0.00022538235263897625
109,jugend,0.0003688304721030043,0.00014351133087189656,-0.00022531914123110776
77,hilfe,0.0004526555793991416,0.00022831348093256272,-0.0002243420984665789
165,demokratischen,0.00030177038626609445,7.827890774830722e-05,-0.00022349147851778722
93,helfen,0.0004191255364806867,0.00019569726937076803,-0.00022342826710991867
87,vorfahren,0.0004191255364806867,0.00019569726937076803,-0.00022342826710991867
172,gründung,0.00028500536480686697,6.523242312358935e-05,-0.0002197729416832776
110,ordnung,0.0003688304721030043,0.0001500345731842555,-0.00021879589891874883
108,weder,0.0003688304721030043,0.0001500345731842555,-0.00021879589891874883
122,bundesfeier,0.00035206545064377684,0.00013698808855953763,-0.0002150773620842392
182,einzelne,0.00028500536480686697,7.175566543594828e-05,-0.0002132496993709187
262,gesinnung,0.0002179452789699571,6.523242312358935e-06,-0.00021142203665759816
139,gewalt,0.00033530042918454936,0.00012394160393481977,-0.0002113588252497296
181,lebens,0.00028500536480686697,7.827890774830722e-05,-0.00020672645705855974
244,lugano,0.0002179452789699571,1.304648462471787e-05,-0.00020489879434523923
251,miteidgenossen,0.0002179452789699571,1.304648462471787e-05,-0.00020489879434523923
249,innere,0.0002179452789699571,1.304648462471787e-05,-0.00020489879434523923
132,weise,0.00033530042918454936,0.0001304648462471787,-0.00020483558293737066
202,friedens,0.0002682403433476395,6.523242312358935e-05,-0.00020300792022405012
191,ereignisse,0.0002682403433476395,6.523242312358935e-05,-0.00020300792022405012
28,lassen,0.0007376609442060086,0.0005349058696134327,-0.00020275507459257592
260,einrichtungen,0.0002179452789699571,1.9569726937076806e-05,-0.00019837555203288027
133,dankbarkeit,0.00033530042918454936,0.00013698808855953763,-0.00019831234062501173
115,jahrhunderte,0.00035206545064377684,0.00015655781549661445,-0.0001955076351471624
31,heimat,0.0007041309012875537,0.0005088129003639969,-0.0001953180009235568
303,ehrfurcht,0.0002011802575107296,6.523242312358935e-06,-0.00019465701519837068
